MMSI,선박명,선종코드,IMO,호출부호,DimA,DimB,DimC,DimD,흘수,추정톤수
219199000,MAERSK EDMONTON,71,9458030,OYHV2,142,224,33,15,13.6,169408
219204000,MAERSK BENTONVILLE,71,9313929,OZCZ2,160,134,16,16,12.1,87807
219210000,MAERSK ESSEN,71,9456783,OYID2,143,224,33,16,10.8,170800
219215000,MAERSK BROOKLYN,70,9313931,OZDA2,160,134,16,16,8.6,87807
219324000,SALLY MAERSK,71,9120865,OZHS2,244,103,29,14,15.1,144371
219581000,MERETE MAERSK,71,9632064,OWQZ2,146,253,30,30,14.5,219487
219609000,MORTEN MAERSK,71,9632105,OWLW2,146,253,30,30,15.2,219487
219620000,MAREN MAERSK,71,9632129,OWTG2,146,253,30,30,14.1,219487
219629000,MARGRETHE MAERSK,71,9632131,OWYZ2,146,253,30,30,12.2,219487
219630000,MARCHEN MAERSK,71,9632143,OWUJ2,146,253,30,30,12.8,219487
219631000,METTE MAERSK,71,9632155,OWRS2,146,253,30,30,15.2,219487
219821000,SKAGEN MAERSK,71,9166792,OYOS2,243,104,22,21,14.9,144371
219835000,MUNICH MAERSK,71,9778806,OWCH2,116,283,29,29,12.4,219487
219836000,MADRID MAERSK,79,9778791,OWMD2,116,283,29,29,14.2,219487
219840000,CLIFFORD MAERSK,71,9198575,OYRO2,244,103,22,20,15,144371
219854000,MARSEILLE MAERSK,74,9778844,OWPU2,116,283,29,29,13.7,219487
219861000,MILAN MAERSK,71,9778820,OWGK2,116,283,29,29,15.3,219487
219863000,MONACO MAERSK,71,9778832,OWNL2,116,283,29,29,13.9,219487
220008000,JOSEPHINE MAERSK,74,9215191,OWKF2,174,42,20,12,9.7,34821
220059000,CHARLOTTE MAERSK,71,9245744,OWLD2,244,103,21,22,15.1,144371
220061000,CORNELIA MAERSK,71,9245756,OWWS2,244,103,33,9,13.5,144371
220164000,CLEMENTINE MAERSK,71,9245770,OUQK2,244,103,22,21,11.7,144371
220397000,GRETE MAERSK,71,9302889,OYCY2,265,102,21,21,14.2,170800
