timestamp,pilot_mmsi,mother_mmsi,pilot_lat,pilot_lon,mother_lat,mother_lon,mother_sog,mother_cog,target_mmsi,target_lat,target_lon,target_distance_m,target_vessel_type,traffic_direction,is_boarding_operation
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,412370360,34.9830216666667,128.816718333333,1135.5,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,412370360,34.9830583333333,128.8167,1139.9,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,412370360,34.983165,128.816636666667,1153.1,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,412370360,34.9833766666667,128.816516666667,1179.0,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,412370360,34.9834133333333,128.816496666667,1183.5,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,412370360,34.9835233333333,128.816441666667,1196.7,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,412370360,34.9835583333333,128.816423333333,1200.9,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,412370360,34.9835983333333,128.816405,1205.7,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,412370360,34.9836716666667,128.816366666667,1214.5,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,412370360,34.9837083333333,128.816348333333,1218.9,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,538009273,34.9922666666667,128.811653333333,2261.8,71.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,538009273,34.9928483333333,128.811326666667,2332.9,71.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,538009273,34.9933216666667,128.811056666667,2391.0,71.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,538009273,34.9937983333333,128.810793333333,2449.2,71.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,538009273,34.9943783333333,128.810468333333,2520.1,71.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,538009273,34.9949066666667,128.810163333333,2585.0,71.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735366666667,128.821313333333,0.2,345.6,412370360,34.98188,128.817538333333,989.4,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735366666667,128.821313333333,0.2,345.6,412370360,34.98194,128.817483333333,997.4,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735366666667,128.821313333333,0.2,345.6,412370360,34.9820666666667,128.817375,1014.1,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735366666667,128.821313333333,0.2,345.6,412370360,34.9821616666667,128.817291666667,1026.7,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735366666667,128.821313333333,0.2,345.6,412370360,34.9822916666667,128.817186666667,1043.6,90.0,inbound,True
