scenario_id,tau_clear_s,psi_clear_deg,distance_at_t0_m,status,entered_hazard,n_entries,n_exits
INT_440127410_370993000_20231121_1020,56.000,5.466,98.108,cleared_after_entry,1,1,1
INT_440127410_636092898_20231121_1131,0.000,0.000,83.169,never_entered,0,0,0
INT_440108150_440154990_20231121_1230,17.200,2.410,13.200,cleared_after_entry,1,1,1
INT_440008040_241313000_20231121_1549,60.800,7.585,112.722,cleared_after_entry,1,1,1
INT_440313260_636021366_20231121_2030,0.000,0.000,104.064,never_entered,0,0,0
INT_440018500_636021366_20231121_2030,0.000,0.000,104.064,never_entered,0,0,0
INT_440155330_255806072_20231121_2204,17.000,0.306,28.844,cleared_after_entry,1,1,1
INT_440155330_538009273_20231121_2209,11.800,0.070,21.401,cleared_after_entry,1,1,1
INT_440139260_255806072_20231121_2220,86.600,8.945,28.844,cleared_after_entry,1,1,1
INT_440108150_538009273_20231121_2230,79.200,6.532,21.401,cleared_after_entry,1,1,1
INT_440151610_574002930_20231122_0518,84.400,8.581,20.248,cleared_after_entry,1,1,1
INT_440155330_538009760_20231122_0905,58.200,6.385,104.064,cleared_after_entry,1,1,1
INT_440127410_229458000_20231122_1641,48.800,4.994,84.919,cleared_after_entry,1,1,1
INT_440127410_255806072_20231122_2157,25.600,0.927,28.844,cleared_after_entry,1,1,1
INT_440008040_215195000_20231122_2243,106.600,12.324,123.046,cleared_after_entry,1,1,1
INT_440713100_414195000_20231122_2300,0.000,0.000,76.041,never_entered,0,0,0
INT_440313250_414195000_20231122_2304,0.000,0.000,76.041,never_entered,0,0,0
INT_440018500_215195000_20231122_2316,0.000,0.000,123.046,never_entered,0,0,0
INT_440127410_311703000_20231123_0209,10.200,0.063,18.601,cleared_after_entry,1,1,1
INT_440127410_538002733_20231123_0226,39.200,3.526,75.068,cleared_after_entry,1,1,1
INT_440713100_477629400_20231123_0302,117.400,14.179,31.643,cleared_after_entry,1,1,1
INT_440030820_636021597_20231123_0445,128.200,13.893,29.703,cleared_after_entry,1,1,1
INT_440127410_636017435_20231123_0500,69.600,8.805,123.940,cleared_after_entry,1,1,1
INT_440127410_538009104_20231123_0504,15.000,0.273,29.547,cleared_after_entry,1,1,1
INT_440335980_636017435_20231123_0533,0.000,0.000,123.940,never_entered,0,0,0
INT_440412320_636017435_20231123_0534,0.000,0.000,123.940,never_entered,0,0,0
INT_440008040_538007480_20231123_0642,66.400,7.032,102.958,cleared_after_entry,1,1,1
INT_440008040_477625400_20231123_0646,63.200,8.110,113.128,cleared_after_entry,1,1,1
INT_440702880_533170514_20231123_0907,89.600,8.037,56.465,cleared_after_entry,1,1,1
INT_440008040_372818000_20231123_1138,16.800,0.306,29.530,cleared_after_entry,1,1,1
INT_440008040_229263000_20231123_1220,111.400,13.147,54.555,cleared_after_entry,1,1,1
INT_440155330_355232000_20231123_1239,30.000,1.852,54.866,cleared_after_entry,1,1,1
INT_440155330_352153000_20231123_1240,59.000,5.797,51.393,cleared_after_entry,1,1,1
INT_440151610_352153000_20231123_1305,0.000,0.000,51.393,never_entered,0,0,0
INT_440008040_563161900_20231123_1905,25.800,0.952,28.302,cleared_after_entry,1,1,1
INT_440151610_563161900_20231123_1925,125.400,15.562,28.302,cleared_after_entry,1,1,1
INT_440155330_636092101_20231123_1940,20.000,0.416,29.954,cleared_after_entry,1,1,1
INT_440155330_352153000_20231123_2319,0.000,0.000,51.393,never_entered,0,0,0
INT_440313250_218284000_20231123_2347,0.000,0.000,103.281,never_entered,0,0,0
INT_440702880_218284000_20231123_2348,0.000,0.000,103.281,never_entered,0,0,0
INT_440155330_414195000_20231124_0227,0.000,0.000,76.041,never_entered,0,0,0
INT_440155330_563247000_20231124_0345,0.000,0.000,113.945,never_entered,0,0,0
INT_440008040_636021337_20231124_0350,0.000,0.000,112.780,never_entered,0,0,0
INT_440155330_219854000_20231124_0406,68.200,8.527,123.525,cleared_after_entry,1,1,1
INT_440313250_563584000_20231124_0605,,,84.772,entered_no_clear,1,1,0
INT_440008040_538007480_20231124_0810,0.000,0.000,102.958,never_entered,0,0,0
INT_440008040_441293000_20231124_0838,47.000,4.549,83.805,cleared_after_entry,1,1,1
INT_440713100_477745800_20231124_0900,158.400,18.598,51.091,cleared_after_entry,1,1,1
INT_440702880_440002690_20231124_1455,42.600,15.838,13.038,cleared_after_entry,1,1,1
INT_440713100_636016856_20231124_1510,144.400,18.862,83.805,cleared_after_entry,1,1,1
INT_440008040_636018223_20231124_1654,47.200,3.915,51.703,cleared_after_entry,1,1,1
INT_440030820_636018223_20231124_1720,107.400,12.461,51.703,cleared_after_entry,1,1,1
INT_440313260_218643000_20231124_1730,142.200,18.479,84.624,cleared_after_entry,1,1,1
INT_440127410_636021129_20231124_2154,31.200,1.991,50.152,cleared_after_entry,1,1,1
INT_440127410_636019207_20231124_2159,63.000,8.088,112.722,cleared_after_entry,1,1,1
INT_440108150_440309000_20231124_2235,58.600,12.959,12.298,cleared_after_entry,1,1,1
INT_440005000_477454900_20231124_2330,0.000,0.000,95.802,never_entered,0,0,0
INT_440702880_477454900_20231124_2330,0.000,0.000,95.802,never_entered,0,0,0
INT_440127410_636020701_20231124_2347,15.600,0.216,27.459,cleared_after_entry,1,1,1
INT_440127410_563152600_20231124_2351,44.600,4.722,78.964,cleared_after_entry,1,1,1
INT_440016540_563152600_20231125_0023,0.000,0.000,78.964,never_entered,0,0,0
INT_441925000_353162000_20231125_0129,0.000,0.000,113.071,never_entered,0,0,0
INT_440335980_353162000_20231125_0131,0.000,0.000,113.071,never_entered,0,0,0
INT_440008040_636018223_20231125_0650,27.800,1.753,51.703,cleared_after_entry,1,1,1
INT_440008040_636092827_20231125_0710,16.800,0.222,25.303,cleared_after_entry,1,1,1
INT_440008040_369339000_20231125_0713,43.800,4.810,80.362,cleared_after_entry,1,1,1
INT_440151610_373579000_20231125_1006,106.600,12.324,27.735,cleared_after_entry,1,1,1
INT_440008040_354202000_20231125_1348,40.400,3.352,83.847,cleared_after_entry,1,1,1
INT_440155330_311655000_20231125_1721,31.400,1.460,18.310,cleared_after_entry,1,1,1
INT_440051510_563039700_20231125_1806,0.000,0.000,109.668,never_entered,0,0,0
INT_440018500_563039700_20231125_1807,0.000,0.000,109.668,never_entered,0,0,0
INT_440008040_353059000_20231125_1920,20.400,0.610,30.871,cleared_after_entry,1,1,1
INT_440008040_636021129_20231125_2128,0.000,0.000,50.152,never_entered,0,0,0
INT_440155330_249783000_20231125_2149,68.400,8.404,102.231,cleared_after_entry,1,1,1
INT_440016540_249783000_20231125_2219,0.000,0.000,102.231,never_entered,0,0,0
INT_440008040_636021108_20231125_2228,0.000,0.000,56.765,never_entered,0,0,0
INT_440008040_563152700_20231125_2250,36.200,2.650,39.798,cleared_after_entry,1,1,1
INT_440030820_440761000_20231126_0005,127.600,15.943,75.068,cleared_after_entry,1,1,1
INT_440313260_440761000_20231126_0008,0.000,0.000,75.068,never_entered,0,0,0
INT_440008040_440642000_20231126_0050,26.000,1.787,50.151,cleared_after_entry,1,1,1
INT_440008040_215167000_20231126_0128,43.200,5.361,76.158,cleared_after_entry,1,1,1
INT_440155330_229726000_20231126_0130,0.000,0.000,93.680,never_entered,0,0,0
INT_440155330_636018262_20231126_0324,0.000,0.000,84.965,never_entered,0,0,0
INT_441925000_219324000_20231126_0725,0.000,0.000,106.611,never_entered,0,0,0
INT_440112210_477624100_20231126_1710,0.000,0.000,112.722,never_entered,0,0,0
INT_440335980_477624100_20231126_1711,0.000,0.000,112.722,never_entered,0,0,0
INT_440151610_308234000_20231126_2223,67.200,4.868,15.556,cleared_after_entry,1,1,1
INT_440702880_373712000_20231127_0507,0.000,0.000,103.394,never_entered,0,0,0
INT_440108150_563158200_20231127_0515,105.400,10.398,29.155,cleared_after_entry,1,1,1
INT_440112210_440279000_20231127_0636,103.600,13.647,25.894,cleared_after_entry,1,1,1
INT_440155330_353775000_20231127_0641,62.800,7.934,93.700,cleared_after_entry,1,1,1
